Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
1582232400000,9582.49000000,9623.82000000,9560.00000000,9609.21000000,1354.23828100,1582235999999,12991638.45756678,16597,681.64120200,6540250.87811737,0
1582236000000,9609.20000000,9663.14000000,9572.79000000,9611.57000000,1713.34696900,1582239599999,16491219.48070179,22111,967.95847000,9316994.45790813,0
1582239600000,9611.57000000,9622.85000000,9580.00000000,9596.42000000,991.00124500,1582243199999,9516553.03445254,15265,510.71373100,4903659.06099438,0
1582243200000,9597.21000000,9610.00000000,9569.42000000,9600.10000000,1106.30660600,1582246799999,10610022.93448516,14881,528.99730800,5073259.51045348,0
1582246800000,9600.10000000,9648.00000000,9584.21000000,9647.99000000,1282.78128800,1582250399999,12342028.60303764,17486,729.53238500,7018871.26868270,0
1582250400000,9647.99000000,9662.94000000,9630.00000000,9643.57000000,1617.21041200,1582253999999,15603305.72034230,20972,863.01293800,8326996.76214746,0
1582254000000,9643.54000000,9714.06000000,9609.93000000,9708.17000000,2887.78806100,1582257599999,27946859.27201619,25843,1620.30350700,15680940.06867515,0
1582257600000,9707.39000000,9733.00000000,9660.79000000,9688.99000000,1846.76185500,1582261199999,17917401.09222509,20281,1077.30480600,10454107.57307668,0
1582261200000,9688.99000000,9701.00000000,9650.00000000,9674.22000000,1783.49970500,1582264799999,17249862.02112994,18029,845.28718600,8175682.05999272,0
1582264800000,9675.12000000,9730.00000000,9655.16000000,9669.70000000,1572.70610100,1582268399999,15229290.16566876,17529,788.61707800,7637567.69587349,0
1582268400000,9669.91000000,9689.19000000,9651.00000000,9673.43000000,1088.05722300,1582271999999,10521475.00030229,15813,596.26808600,5765950.04099300,0
1582272000000,9673.43000000,9689.22000000,9613.04000000,9632.07000000,2299.87442600,1582275599999,22185160.28103514,21106,1046.29687600,10094192.31327091,0
1582275600000,9632.01000000,9669.43000000,9613.00000000,9659.91000000,1675.25445700,1582279199999,16153031.10809583,19687,811.95269200,7830782.71834995,0
1582279200000,9660.05000000,9715.74000000,9645.01000000,9677.94000000,1625.23771000,1582282799999,15726127.97226846,18020,923.98780900,8943105.79369569,0
1582282800000,9677.95000000,9719.00000000,9676.52000000,9694.56000000,1888.37719100,1582286399999,18321328.10402491,19666,871.42157900,8454543.32903497,0
1582286400000,9694.56000000,9755.51000000,9691.08000000,9747.01000000,2949.53738800,1582289999999,28728538.96010041,27272,1485.12629500,14464216.24905836,0
